District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
karachi,NA-246,independent,604,194278,1281,195554,310045,63.07,2008
gujranwala,NA-96,independent,44,154948,2997,154760,303568,52.0,2013
vehari,NA-167,independent,1336,152880,1367,154247,363091,42.48,2008
tribal,NA-51,national party,18,0,0,0,0,41.89,2018
tor ghar cum mansehra,NA-21,independent,1040,172537,5660,177071,392364,45.13,2013
multan,NA-152,independent,393,135092,3599,138691,336035,41.23,2008
peshawar,NA-4,pakistan muslim league,18583,80806,1604,79728,260335,30.62,2008
panjgur,NA-270,balochistan awami party,18568,87644,6152,93796,231726,40.48,2018
tribal area,NA-36,independent,24,22873,390,23263,126007,18.15,2008
tribal,NA-41,allah-o-akbar tehreek,56,0,0,0,0,38.17,2018
loralai,NA-263,pakistan muslim league (n),21385,78657,3087,81744,272509,30.0,2002
narowal,NA-116,pakistan muslim league,37138,114350,6537,120887,224956,53.73,2008
karach,NA-251,muttahida qaumi movement,81603,168022,1470,169492,342155,49.53,2013
faisalabad,NA-78,pakistan muslim league (n),88162,177008,12488,188935,301973,62.57,2013
lahore,NA-128,jamaat-e-islami pakistan,9483,220114,3174,220976,418384,64.0,2013
quetta cum chagai cum mastung,NA-260,muttahidda majlis-e-amal,39013,100421,5073,105494,369216,28.6,2002
chiniot,NA-100,pakistan muslim league (n),76415,216487,7197,223684,362673,61.68,2018
khanewal,NA-150,independent,5551,0,0,0,0,59.87,2018
swat,NA-4,muttahida majlis-e-amal pakistan,17542,0,0,0,0,39.22,2018
tribal,NA-40,pakistan tehreek-e-insaf,34616,102689,1843,104532,255579,40.9,2018
gujranwala,NA-98,pakistan tehreek-e-insaf,20778,201776,6170,206591,363205,56.88,2013
bahawalpur,NA-184,jamaat-e-islami pakistan,987,171487,4998,176458,291600,60.51,2013
faisalabad,NA-82,independent,346,200368,2805,203173,343634,59.12,2013
islamabad,NA-49,pakistan peoples party parlimentarian,47884,107241,1255,108496,196177,55.31,2002
islamabad,NA-54,pakistan tehreek-e-insaf,56945,117747,932,118679,218795,54.24,2018
faisalabad,NA-110,independent,113,0,0,0,0,57.01,2018
gujrat,NA-105,independent,262,146179,3638,150621,332332,45.32,2008
narowal,NA-117,independent,130,113809,4247,118055,213474,55.3,2008
faisalabad,NA-77,pakistan muslim league (n),98057,175444,5667,180589,294667,61.48,2013
rawalpindi,NA-51,pakistan muslim league (n),56381,206717,3503,211893,390375,54.28,2008
okara,NA-144,independent,392,0,0,0,0,57.42,2018
tribal area,NA-41,independent,2456,26188,844,27032,86598,31.22,2002
swabi,NA-12,independent,49872,108846,3041,111398,283709,39.26,2008
karachi,NA-240,awami national party,1815,86444,892,87336,222359,39.3,2002
sheikhupuraiicumnankana sahib old  sheikhupura,NA-132,independent,199,160238,5378,165569,291232,56.85,2013
sheikhupurcumsukkurcumlarkanaold shikarpur,NA-203,jamiat ulama-e-islam (f),8861,130511,4500,135011,228663,59.24,2013
tribal area,NA-46,jamaat-e-islami pakistan,1027,16896,142,0,0,0.0,2013
dera,NA-191,muttahida qaumi movement,169,0,0,0,0,50.54,2018
peshawar,NA-29,pakistan tehreek-e-insaf,49762,125538,4619,130157,320401,40.62,2018
islamabad,NA-48,muttahida qaumi movement,370,104409,548,104902,239924,43.72,2008
muzaffargarh,NA-181,pakistan tehreek-e-insaf,48858,0,0,0,0,62.56,2018
attock,NA-56,pakistan tehreek-e-insaf,163325,389806,10143,339949,638937,52.5,2018
nankana,NA-117,independent,316,0,0,0,0,58.4,2018
tribal area,NA-41,independent,12,37461,706,0,92719,0.0,2013
tribal,NA-46,independent,13,0,0,0,0,43.17,2018
gujrat,NA-70,pakistan peoples party parlimentarian,42508,0,0,0,0,49.74,2018
nawabshah,NA-214,pakistan peoples party parlimentarian,81194,131321,4699,133446,283305,47.1,2008
karach,NA-246,awami muslim league pakistan,687,186355,15946,189405,357781,51.63,2013
lodhran,NA-160,pakistan muslim league (n),125740,267535,6984,274519,456024,60.2,2018
swat,NA-30,awami national party,15595,158098,7228,165325,460748,35.88,2013
vehari,NA-167,pakistan peoples party parlimentarian,74308,152880,1367,154247,363091,42.48,2008
mansehra,NA-13,tehreek-e-labbaik pakistan,4731,0,0,0,0,59.66,2018
lahore,NA-123,independent,359,66805,1046,67851,262987,25.8,2002
sahiwal,NA-160,pakistan peoples party parlimentarian,53174,110701,2819,113520,263042,43.16,2002
larkanacumshikharpurcumkamber shahdadkot old larkana,NA-207,independent,90,144959,8444,153393,282819,54.24,2013
sahiwal,NA-162,pakistan muslim league (n),75579,165517,4182,169699,294702,57.58,2008
jhelum,NA-67,pakistan tehreek-e-insaf,93102,205262,4409,209671,404212,51.87,2018
nankana sahibcum sheikhupura old sheikhupura,NA-136,independent,182,116174,4634,120546,219843,54.83,2008
lahore,NA-122,jamiatulema-e-pakistan(nifaz-e-shariat),581,92009,1248,93257,279245,33.4,2002
nowshera,NA-5,pakistan peoples party parlimentarian,31907,94570,2701,97234,263153,37.0,2008
tribal area,NA-47,independent,1840,48139,457,48217,121265,39.76,2013
khuzdar,NA-269,independent,253,58663,4201,62852,186598,33.68,2008
ghotki,NA-201,independent,917,104775,4284,109059,285481,38.2,2002
rajanpur,NA-175,pakistan peoples party parlimentarian,78427,132214,5573,137472,285365,48.17,2008
faisalabad,NA-101,allah-o-akbar tehreek,5343,0,0,0,0,58.19,2018
lahore,NA-128,pakistan peoples party parlimentarian,31175,92656,3034,95690,244140,39.19,2002
karachi,NA-254,independent,50,79163,1191,80354,230917,34.8,2002
haripur,NA-17,pakistan tehreek-e-insaf,172609,334580,8862,343442,657648,52.22,2018
chiniotii cumjhang old na jhang,NA-87,jamaat-e-islami pakistan,11123,206990,8488,215478,367617,58.61,2013
tribal area,NA-40,independent,5201,34638,591,35254,126453,27.87,2008
rahimyar,NA-176,pakistan muslim league (n),78536,211149,5080,216229,394282,54.84,2018
layyah,NA-188,independent,1974,0,0,0,0,64.02,2018
bhakkar,NA-73,independent,83850,173224,6317,179271,266265,67.0,2008
okara,NA-143,pakistan muslim league (n),15265,124135,4627,128762,280597,45.88,2008
sialkot,NA-72,pakistan tehreek-e-insaf,91393,0,0,0,0,58.11,2018
multan,NA-158,pakistan muslim league (n),73218,0,0,0,0,56.76,2018
vehar,NA-170,pakistan muslim league (n),83895,197980,5763,203104,319983,63.47,2013
peshawar,NA-3,jamaat-e-islami pakistan,11954,173647,5276,177823,384086,46.3,2013
nanka sahibi old sheikhupura,NA-135,independent,1510,124469,6006,124469,227137,54.79,2008
quetta,NA-259,muttahida qaumi movement,711,73810,1691,75501,310948,24.3,2002
okara,NA-142,pakistan muslim league (n),140733,235192,4460,239652,421873,56.81,2018
tribal,NA-44,independent,45,0,0,0,0,25.32,2018
toba,NA-111,independent,199,0,0,0,0,58.32,2018
faisalabad,NA-109,tehreek-e-labbaik pakistan,9975,0,0,0,0,58.05,2018
multan,NA-152,independent,254,135092,3599,138691,336035,41.23,2008
sukkur,NA-206,muttahida majlis-e-amal pakistan,14161,0,0,0,0,58.14,2018
lahore,NA-136,independent,2555,0,0,0,0,56.08,2018
rawalpindi,NA-61,front national (pakistan),233,0,0,0,0,51.38,2018
charsadda,NA-8,pakhtoonkhwa milli awami party,929,139141,4625,143540,327423,43.63,2013
tribal,NA-43,muttahida majlis-e-amal pakistan,4880,0,0,0,0,37.9,2018
toba tek singh,NA-94,pakistan muslim league,63444,184430,6040,189920,314704,60.34,2008
shikarpur old shikarpur,NA-202,muttahidda majlis-e-amal,12521,101773,4577,106350,275349,38.62,2008
tribal area,NA-43,pakistan muslim league (n),1690,42901,1378,44051,168514,26.14,2013
tribal,NA-49,independent,2129,0,0,0,0,20.71,2018
tribal,NA-41,pakistan tehreek-e-insaf,22730,88439,2073,90512,237153,38.17,2018
tribal,NA-45,independent,132,0,0,0,0,35.01,2018
lower dir,NA-34,pakistan tehreek-e-insaf,45066,149331,5364,152181,504694,30.15,2013
bannu,NA-26,independent,4594,175007,5300,177252,444059,39.0,2013
faisalabad,NA-77,pakistan muslim league (n),98057,175444,5667,180589,294667,61.48,2013
faisalabad,NA-83,pakistan peoples party parlimentarian,56910,140145,3059,143202,311576,45.96,2008
mardan,NA-20,pakistan peoples party parlimentarian,36312,0,0,0,0,45.16,2018
multan,NA-152,pakistan muslim league (n),36870,116710,2143,118853,279550,42.52,2002
jacobabad,NA-209,muttahida qaumi movement,495,92836,2999,95835,281410,34.1,2002
rahimyar,NA-175,pakistan tehreek-e-insaf,96967,236534,6210,242744,429706,56.49,2018
abbottabad,NA-17,pakistan muslim league (q),44716,109254,3375,112629,284297,39.62,2002
peshawar,NA-2,pakistan peoples party(sherpao),926,56000,1367,57367,216587,26.49,2002
rawalpindi,NA-61,pakistan tehreek-e-insaf,105000,186062,2898,188980,367782,51.38,2018
karachi,NA-257,independent,99,105413,1630,107043,256535,41.7,2002
sukkur,NA-198,independent,69,82245,1665,83910,238761,35.1,2002
muzaffargarh,NA-184,pakistan tehreek-e-insaf,34929,0,0,0,0,58.52,2018
toba tek singh,NA-94,independent,108,170131,4818,174949,344077,50.85,2002
buner,NA-9,pakistan tehreek-e-insaf,58037,173336,7632,180968,445474,40.62,2018
upper,NA-5,all pakistan muslim league,1910,0,0,0,0,48.26,2018
tribal area,NA-47,independent,33,48139,457,48217,121265,39.76,2013
sialkot,NA-74,pakistan muslim league (n),97235,254678,8928,263807,475866,55.4,2018
lower,NA-6,tehreek-e-labbaik pakistan,3166,0,0,0,0,48.9,2018
gujrat,NA-106,independent,218,213817,6893,222983,413565,53.91,2013
tribal area,NA-44,independent,1277,28046,923,28969,131926,21.96,2002
zhobcumsheranicum killa saifullah,NA-264,independent,511,92925,5918,96953,215250,45.04,2013
attock,NA-57,pakistan muslim league (n),38755,127533,7010,134339,275468,48.76,2008
dera,NA-189,tehreek-e-labbaik pakistan,2957,0,0,0,0,52.35,2018
karach,NA-250,independent,95,124309,1836,0,365531,35.48,2013
chiniotii cumjhang old na jhang,NA-87,independent,528,206990,8488,215478,367617,58.61,2013
karachi,NA-255,nizam-e-mustafa party,4164,100230,1217,101447,246368,41.2,2002
tribal area,NA-39,independent,12,47602,231,47833,125687,38.05,2013
jhelum,NA-67,muttahida majlis-e-amal pakistan,549,0,0,0,0,51.87,2018
vehari,NA-167,pakistan muslim league (n),32314,152880,1367,154247,363091,42.48,2008
swat,NA-29,jamiat ulama-e-pakistan (noorani),1068,178857,6237,184299,521072,35.37,2013
hyderabadi old hyderabad,NA-219,muttahida qaumi movement,168136,195883,1895,197778,352697,56.08,2008
sahiwal,NA-149,pakistan tehreek-e-insaf,137632,278627,4433,283060,497331,56.92,2018
rawalpindi,NA-54,pakistan peoples party parlimentarian,13185,165049,1801,166523,300816,55.36,2013
lahore,NA-127,independent,170,160108,2401,161700,330154,49.0,2013
abbottabad,NA-17,pakistan tehreek-e-insaf,96549,187753,3932,191061,338273,56.48,2013
sahiwal,NA-162,independent,104,165517,4182,169699,294702,57.58,2008
hyderabad,NA-222,pakistan muslim league (n),81,92505,1794,94299,262149,36.0,2002
tribal area,NA-47,independent,2047,47706,402,46123,131222,35.14,2008
tribal area,NA-44,independent,16,58959,1502,60000,185040,32.43,2013
hangu,NA-33,pakistan tehreek-e-insaf,28819,77891,3424,81318,275947,28.47,2018
okara,NA-141,independent,2146,0,0,0,0,60.23,2018
swat,NA-4,pakhtoonkhwa milli awami party,1464,0,0,0,0,39.22,2018
mardan,NA-9,independent,92,57054,1063,80816,262042,30.8,2008
tribal,NA-47,independent,118,0,0,0,0,32.87,2018
tribal area,NA-36,pakistan muslim league,28,53017,66,53083,179304,29.92,2013
sukkur,NA-199,pakistan peoples party (shaheed bhutto),750,108113,3008,111121,286117,38.8,2002
gujrat,NA-69,independent,4504,0,0,0,0,46.6,2018
shangla,NA-10,awami workers party,1200,0,0,0,0,34.27,2018
swabi,NA-19,pakistan muslim league (n),13977,0,0,0,0,45.67,2018
lodhran,NA-155,independent,79977,153001,1123,154124,272048,56.65,2008
tribal area,NA-40,independent,11,28600,289,28889,96448,29.95,2002
lahore,NA-119,independent,339,153892,1818,155655,305570,50.93,2013
bahawalpur,NA-186,pakistan muslim league (n),11812,138255,3245,141500,287829,49.16,2002
shangla,NA-31,pakistan muslim league (n),30916,92744,4093,93978,296723,31.67,2013
multan,NA-151,independent,61,198619,4945,199970,362313,56.0,2013
lahore,NA-125,independent,267,75593,1120,76713,255313,30.05,2002
sargodha,NA-65,pakistan tehreek-e-insaf,8885,189710,6947,201449,323341,62.3,2013
tribal,NA-42,qaumi watan party,76,0,0,0,0,0.0,2018
pakpattan,NA-145,muttahida majlis-e-amal pakistan,1576,0,0,0,0,57.62,2018
sargodha,NA-89,independent,2694,0,0,0,0,58.93,2018
islamabad,NA-49,pakistan tehreek-e-insaf,57383,214364,1406,216008,334241,64.36,2013
karachi,NA-251,independent,150,77719,119,77838,210491,37.0,2002
islamabad,NA-48,independent,42,104409,548,104902,239924,43.72,2008
faisalabad,NA-82,awami workers party,1619,200368,2805,203173,343634,59.12,2013
peshawar,NA-3,independent,85,90895,2566,93241,257192,36.25,2008
khushab,NA-93,independent,23482,0,0,0,0,57.86,2018
rawalpindi,NA-53,pakistan muslim league (n),72257,175409,4509,179918,343853,52.32,2008
tribal area,NA-47,independent,6,48139,457,48217,121265,39.76,2013
islamabad,NA-48,independent,691,104409,548,104902,239924,43.72,2008
tribal,NA-45,independent,8,0,0,0,0,35.01,2018
gujranwala,NA-95,millat party,0,166280,2961,169135,318739,53.06,2013
jhelum,NA-62,all pakistan muslim league,153,215830,6580,216920,389451,55.69,2013
tribal area,NA-45,independent,1340,69541,1007,69868,175036,39.92,2013
multan,NA-148,independent,195,138099,0,150402,344896,43.6,2008
matiaricumhyderabad old hyderabad,NA-218,pakistan peoples party parlimentarian,95724,176312,5324,181432,288653,62.85,2013
abbottabad,NA-16,independent,236,0,0,0,0,49.84,2018
tribal,NA-48,independent,2889,0,0,0,0,23.32,2018
tribal area,NA-39,independent,8,47602,231,47833,125687,38.05,2013
lahore,NA-124,independent,260,171312,2431,174436,322562,53.56,2013
rawalpindi,NA-57,pakistan tehreek-e-insaf,136249,322692,3908,326600,590372,55.32,2018
hangu,NA-16,awami national party,5234,44976,1249,46225,160984,28.71,2002
faisalabad,NA-75,independent,97,198540,3841,198044,321768,61.54,2013
peshawar,NA-3,pakistan muslim league (n),22370,173647,5276,177823,384086,46.3,2013
dikhancomtank,NA-25,independent,400,132830,4613,137443,320178,43.0,2008
tribal area,NA-36,independent,74,24648,341,24989,108081,23.12,2002
kasur,NA-140,pakistan muslim league (q),50318,119741,4130,123871,263273,47.05,2002
kohistan,NA-11,independent,27,0,0,0,0,40.89,2018
hafizabad,NA-103,independent,315,162738,4852,165135,259256,63.69,2013
kachhi,NA-267,national alliance,57751,78230,1784,80014,230836,34.7,2002
islamabad,NA-49,awami national party,79,214364,1406,216008,334241,64.36,2013
upper dir,NA-33,muttahidda majlis-e-amal,39362,71934,2581,74515,230952,32.26,2002
tribal area,NA-41,independent,10,37461,706,0,92719,0.0,2013
vehari,NA-164,pakistan tehreek-e-insaf,82084,229456,5569,235025,408197,57.58,2018
mandi,NA-86,pakistan muslim league (n),147105,266521,15588,282089,512410,55.05,2018
jhang,NA-90,independent,64759,130849,4567,135021,273873,49.3,2008
lower dir,NA-34,pakistan peoples party parlimentarian,38068,87451,2746,90029,371903,24.2,2008
pakpattan,NA-165,independent,721,165242,5942,170599,270634,63.03,2013
tribal area,NA-46,independent,57,16559,260,16819,80422,20.91,2002
lahore,NA-129,independent,75,147257,3392,148012,273648,54.08,2013
karachi,NA-251,independent,327,131024,2673,133697,337193,39.64,2008
sialkot,NA-72,pakistan muslim league (n),129041,252907,7015,259922,447309,58.11,2018
mardan,NA-10,muttahidda majlis-e-amal,69726,87691,1713,89404,223817,39.95,2002
gujranwala,NA-98,pakistan muslim league (j),21207,131614,5079,136693,285993,47.8,2002
gujranwala,NA-98,pakistan peoples party parlimentarian,68509,145988,4793,150781,368599,40.96,2008
gujranwala,NA-99,pakistan peoples party parlimentarian,36897,179614,6044,178899,318029,56.25,2013
kasur,NA-138,pakistan muslim league (n),58832,132243,4016,135895,232483,58.45,2008
lower dir,NA-34,independent,163,149331,5364,152181,504694,30.15,2013
rawalpindi,NA-62,awami muslim league pakistan,117719,231691,3859,235560,452930,52.01,2018
attock,NA-58,independent,59067,220811,7137,226165,359058,83.09,2013
rahimyar khan,NA-195,pakistan muslim league (f),81097,102918,1390,144889,335006,43.24,2008
khanewal,NA-158,pakistan muslim league,57777,159769,4137,159659,262562,60.8,2008
tribal area,NA-45,independent,1340,69541,1007,69868,175036,39.92,2013
layyah,NA-187,independent,88225,0,0,0,0,63.45,2018
islamabad,NA-49,all pakistan muslim league,336,214364,1406,216008,334241,64.36,2013
sialkot,NA-111,pakistan peoples party parlimentarian,78925,163783,7536,171317,307465,55.7,2008
karachi,NA-240,muttahida qaumi movement,30408,86444,892,87336,222359,39.3,2002
khairpur,NA-217,pakistan peoples party parlimentarian,54388,107330,3410,110740,290832,38.1,2002
peshawar,NA-3,pakistan peoples party parlimentarian,27038,90895,2566,93241,257192,36.25,2008
faisalabad,NA-75,independent,68,198540,3841,198044,321768,61.54,2013
rahim yar khan,NA-197,independent,300,191071,5928,195429,328977,59.41,2013
muzaffargarh,NA-176,pakistan muslim league (n),42225,142246,4582,146584,275075,53.28,2008
multan,NA-150,pakistan muslim league (n),79680,190785,2155,192888,373331,51.67,2013
sargodha,NA-64,independent,524,176605,5687,181349,429937,42.18,2008
dadui old dadu,NA-232,independent,272,122176,3234,125414,389936,32.0,2008
bahawalnagar,NA-190,pakistan muslim league,70081,151037,3629,154666,316829,48.81,2008
khanewal,NA-158,pakistan muslim league (q),56462,150064,3184,153248,290329,52.78,2002
sargodha,NA-67,independent,400,170981,3496,174471,372351,46.85,2008
tribal,NA-43,pakistan tehreek-e-insaf,33243,84335,1557,85892,226627,37.9,2018
nankana,NA-117,pakistan muslim league (n),71891,233850,6456,240306,411484,58.4,2018
gujranwala,NA-101,independent,2352,161010,4892,165545,377640,43.83,2008
sheikhupuraii old sheikhupura,NA-133,independent,85,97934,3959,101893,222833,45.73,2008
lahore,NA-128,jamaat-e-islami pakistan,9483,220114,3174,220976,418384,64.0,2013
sialkot,NA-75,independent,224,0,0,0,0,55.84,2018
loralaicummusakhelcumbarkhan old loralai,NA-263,muttahida qaumi movement,2599,137762,4405,141854,349596,40.58,2008
rawalpindi,NA-56,independent,59,160363,1479,161627,288423,56.04,2013
karachi,NA-254,pakistan tehreek-e-insaf,416,79163,1191,80354,230917,34.8,2002
toba tek singh,NA-93,independent,99,221817,5795,227220,352845,64.4,2013
rahimyar,NA-180,pakistan peoples party parlimentarian,71988,220665,6957,227640,386772,58.86,2018
lakki marwat,NA-27,muttahidda majlis-e-amal,65938,107109,2078,109187,234619,46.54,2002
rawalpindi,NA-50,pakistan peoples party parlimentarian,74259,168707,2742,171449,358818,47.78,2002
ghotki,NA-201,independent,77950,104775,4284,109059,285481,38.2,2002
kasur,NA-141,independent,278,107743,3189,110932,256425,43.26,2002
panjgur,NA-270,independent,317,0,0,0,0,40.48,2018
rawalpindi,NA-52,pakistan muslim league (n),133143,255828,4329,259631,455186,57.04,2013
tribal area,NA-39,independent,0,47602,231,47833,125687,38.05,2013
rawalpindi,NA-51,pakistan peoples party parlimentarian,80247,206717,3503,211893,390375,54.28,2008
tribal area,NA-37,independent,2,93968,518,94484,162660,58.09,2013
lahore,NA-118,pakistan muslim league (n),55900,92862,1758,94620,250850,37.7,2008
mirpurkhascumumerkot,NA-227,pakistan peoples party parlimentarian,82697,124933,5054,129060,331905,38.8,2008
tribal area,NA-44,independent,4648,23221,847,24062,136052,17.69,2008
matiari,NA-223,pakistan peoples party parlimentarian,109960,179518,5861,185379,342906,54.06,2018
karachi,NA-251,muttahida qaumi movement,23856,77719,119,77838,210491,37.0,2002
islamabad,NA-48,independent,13,173189,1042,173968,292142,59.55,2013
karachi,NA-253,muttahida qaumi movement,25960,79703,1101,80804,249365,32.4,2002
tribal area,NA-38,independent,3,24900,19,24919,87993,28.31,2008
swat,NA-3,jamiat ulma-e-islam nazryati pakistan,1368,0,0,0,0,40.35,2018
tribal area,NA-40,independent,18055,77113,857,77970,160666,48.52,2013
tribal,NA-49,pakistan tehreek-e-insaf,6606,0,0,0,0,20.71,2018
lahore,NA-136,independent,393,0,0,0,0,56.08,2018
nankana sahibiii old sheikhupra,NA-137,independent,22967,169065,6641,175596,287484,61.08,2013
karachi,NA-251,pak sarzameen party,5653,0,0,0,0,43.81,2018
quetta,NA-265,independent,2535,0,0,0,0,36.79,2018
quetta,NA-259,independent,183,60817,1875,62692,365579,17.14,2008
rahimyar khan,NA-197,pakistan muslim league (q),43192,130757,2520,133277,265809,50.14,2002
okara,NA-146,independent,816,133915,5686,139493,311975,44.71,2008
shangla,NA-10,independent,1093,0,0,0,0,34.27,2018
karach,NA-242,pakistan muslim league (n),9462,198288,3475,201670,307684,65.54,2013
karachi,NA-250,pakistan tehreek-e-insaf,36049,146717,3136,149853,400675,37.4,2018
rawalpindi,NA-52,mutahida deeni mahaz,2107,255828,4329,259631,455186,57.04,2013
bahawalpur,NA-170,pakistan tehreek-e-insaf,84495,185464,3112,188576,360608,52.29,2018
muzaffargarh,NA-181,independent,64012,197827,6515,204342,326617,62.56,2018
tribal,NA-50,independent,23530,46810,1332,48142,145872,33.0,2018
sukkur,NA-207,pakistan peoples party parlimentarian,69379,166622,7171,173793,374016,46.47,2018
tribal area,NA-39,independent,35,47602,231,47833,125687,38.05,2013
toba tek singh,NA-94,muttahida qaumi movement,86,242627,8291,246020,385561,63.8,2013
rajanpur,NA-175,independent,73885,214671,14058,227313,355184,64.0,2013
jhelum,NA-62,pakistan peoples party parlimentarian,8186,215830,6580,216920,389451,55.69,2013
sargodha,NA-68,pakistan tehreek-e-insaf,45584,223031,7280,223784,373233,59.96,2013
rahimyar khan,NA-196,muttahidda majlis-e-amal,12706,114817,2878,117695,256278,45.92,2002
bahawalnagar,NA-166,independent,786,0,0,0,0,62.92,2018
tribal area,NA-42,independent,1503,30472,694,31166,122373,25.47,2002
bahawalpur,NA-183,pakistan muslim league (q),51435,110671,3545,114216,271891,42.01,2002
rawalpindi,NA-56,independent,30951,82089,2215,84304,231962,36.34,2002
dera ghazi khan,NA-171,independent,115,162634,7114,169748,381343,44.42,2008
khairpur,NA-217,independent,164,107330,3410,110740,290832,38.1,2002
toba tek singh,NA-93,pakistan muslim league (n),84061,169690,5196,174716,289211,60.41,2008
sheikhupura,NA-136,pakistan muslim league (q),63617,120650,4022,124672,268674,46.4,2002
nawabshah,NA-213,independent,119,162196,4807,166725,350280,47.59,2008
faisalabad,NA-83,pakistan muslim league (q),38278,104403,1553,105956,282919,37.45,2002
khanewal,NA-157,pakistan tehreek-e-insaf,27842,203379,5254,203387,334495,60.8,2013
vehari,NA-170,pakistan muslim league,56816,154733,4640,158850,328176,48.4,2008
lahore,NA-136,independent,674,0,0,0,0,56.08,2018
rawalpindi,NA-52,independent,1111,79175,0,79175,375934,21.06,2008
karachi,NA-251,pakistan muslim league (q),4148,77719,119,77838,210491,37.0,2002
bahawalnagar,NA-189,pakistan muslim league (n),95060,178630,6829,185241,309222,59.88,2013
vehar,NA-169,independent,63,199613,4638,203822,321145,63.46,2013
mianwali,NA-71,muttahidda majlis-e-amal,4817,138050,6018,144068,307223,46.89,2002
chiniot,NA-100,pakistan tehreek-e-insaf,75559,0,0,0,0,61.68,2018
tribal area,NA-47,independent,28,48139,457,48217,121265,39.76,2013
bhakkar,NA-98,pakistan tehreek-e-insaf,138307,287382,7705,295087,434072,67.98,2018
okara,NA-142,pakistan kissan ittehad(ch. anwar),202,0,0,0,0,56.81,2018
mansehra,NA-20,independent,415,221152,8452,226592,415191,54.6,2013
nankana sahibii old sheikhupura,NA-137,independent,54732,124965,5452,130408,234225,55.6,2008
abbottabad,NA-17,pakistan muslim league (safdar),890,187753,3932,191061,338273,56.48,2013
attock,NA-58,pakistan muslim league (q),88784,151777,5230,157007,274639,57.17,2002
gujranwala,NA-96,jamait ahle-hadith pakistan(elahi zaheer),1199,100373,2178,102551,345090,29.7,2008
hangu,NA-16,awami national party,4479,64933,1657,65140,214703,30.81,2013
khairpur,NA-210,pakistan peoples party parlimentarian,90718,182441,10389,192830,384066,50.21,2018
islamabad,NA-53,pakistan tehreek-e-insaf,92891,174976,1480,176456,312142,56.53,2018
tribal,NA-48,independent,23,0,0,0,0,23.32,2018
islamabad,NA-48,majlis wahdat-e-muslimeen pakistan,1125,173189,1042,173968,292142,59.55,2013
kashmore,NA-197,pakistan peoples party parlimentarian,84742,149993,15340,165333,454542,36.37,2018
lahore,NA-123,independent,34,173676,2155,175830,347941,50.53,2013
gujranwala,NA-81,allah-o-akbar tehreek,5411,0,0,0,0,50.58,2018
mardan,NA-10,tehreek-e-pasmanada awam pakistan,1638,157463,4834,161347,321660,51.0,2013
jacobabad,NA-209,pakistan muslim league (q),39024,92836,2999,95835,281410,34.1,2002
attock,NA-59,mutahida deeni mahaz,643,191704,7137,198841,309334,64.0,2013
rawalpindi,NA-61,pakistan awami league,281,0,0,0,0,51.38,2018
sargodha,NA-68,independent,130,223031,7280,223784,373233,59.96,2013
sialkot,NA-112,independent,965,203942,5343,208165,363004,57.34,2013
peshawar,NA-30,pakistan tehreek-e-insaf,73781,122412,3135,125547,308891,40.64,2018
lahore,NA-129,muttahidda majlis-e-amal,783,93717,2437,96154,200935,48.0,2008
faisalabad,NA-84,all pakistan muslim league,1532,180364,4509,184873,308900,59.84,2013
vehari,NA-170,pakistan peoples party parlimentarian,87124,154733,4640,158850,328176,48.4,2008
pakpattan,NA-166,pakistan muslim league (q),58699,121210,3259,124469,249043,49.98,2002
sheikhupura,NA-135,pakistan muslim league (q),47404,117588,3365,120953,247790,48.81,2002
bahawalnagar,NA-188,pakistan peoples party parlimentarian,44861,142799,5542,148311,269766,54.98,2008
tribal,NA-47,pakistan tehreek-e-insaf,11102,53790,1176,54966,167206,32.87,2018
lahore,NA-121,independent,555,197906,3239,201009,388441,51.75,2013
chakwal,NA-60,pakistan muslim league (n),125437,242256,4890,247077,433391,57.0,2008
mansehra,NA-21,independent,4500,0,0,0,424342,0.0,2008
lakki,NA-36,pakistan muslim league (n),448,0,0,0,0,50.06,2018
gujrat,NA-106,independent,55987,213817,6893,222983,413565,53.91,2013
jhangi old na jhang,NA-89,jamhoori wattan party,64,168977,4441,171418,290555,59.0,2013
nawabshah,NA-214,pakistan peoples party parlimentarian,81194,131321,4699,133446,283305,47.1,2008
islamabad,NA-53,independent,30,0,0,0,0,56.53,2018
faisalabad,NA-81,independent,540,206571,5824,212395,344031,61.74,2013
sargodha,NA-91,pakistan peoples party parlimentarian,8037,0,0,0,0,59.45,2018
charsadda,NA-7,independent,574,169170,5113,173869,376144,46.22,2013
mardan,NA-9,independent,519,57054,1063,80816,262042,30.8,2008
bannu,NA-26,muttahidda majlis-e-amal,91484,164463,2792,167114,384896,43.42,2008
bahawalnagar,NA-190,pakistan peoples party parlimentarian,77664,151037,3629,154666,316829,48.81,2008
multan,NA-151,independent,172,198619,4945,199970,362313,56.0,2013
jacobabad,NA-209,pakistan peoples party parlimentarian,52613,92836,2999,95835,281410,34.1,2002
jhelum,NA-62,pakistan muslim league,61524,180242,6134,186272,370090,50.33,2008
mansehra,NA-21,muttahidda majlis-e-amal,46311,103797,1836,105633,310360,34.04,2002
toba tek singh,NA-93,independent,81607,157400,3378,160778,309393,51.97,2002
lahore,NA-127,independent,73,160108,2401,161700,330154,49.0,2013
